epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6444,0.01164,2.14443,0.08967,0.36662,0.65907,0.47624,0.25936,0.00936,1.53315,0.08149,9.94709e-05,9.94709e-05,0.0802053
2,44.4755,0.00965,1.44008,0.07974,0.55737,0.75898,0.67585,0.37983,0.00901,1.28926,0.07835,0.000198474,0.000198474,0.0603043
3,63.5196,0.00916,1.31053,0.07811,0.66708,0.79406,0.76408,0.45419,0.00828,1.21577,0.0784,0.000296476,0.000296476,0.0404023
4,84.6764,0.00898,1.24239,0.07751,0.71535,0.75595,0.78185,0.47303,0.00843,1.18398,0.0781,0.000393479,0.000393479,0.0204993
5,105.594,0.00862,1.17789,0.07648,0.72724,0.79059,0.79691,0.48691,0.00791,1.07359,0.07687,0.000489482,0.000489482,0.000595302
6,124.403,0.00843,1.12047,0.07503,0.7222,0.81506,0.80401,0.4939,0.00783,1.05573,0.07519,0.000487501,0.000487501,0.000487501
7,143.884,0.00825,1.08454,0.07453,0.74119,0.83691,0.82838,0.52782,0.00757,1.02655,0.07512,0.000485001,0.000485001,0.000485001
8,161.723,0.00824,1.05817,0.07449,0.70566,0.8473,0.82005,0.53482,0.00757,1.02162,0.07427,0.000482501,0.000482501,0.000482501
9,179.757,0.008,1.02217,0.07331,0.76218,0.82712,0.83975,0.55517,0.00745,0.97538,0.07337,0.000480001,0.000480001,0.000480001
10,199.622,0.008,1.0148,0.07359,0.76608,0.80481,0.83782,0.54003,0.00758,0.95721,0.0745,0.000477501,0.000477501,0.000477501
11,220.216,0.00789,0.99112,0.07289,0.78059,0.8317,0.86641,0.57438,0.00726,0.93118,0.07267,0.000475001,0.000475001,0.000475001
12,239.017,0.00777,0.97326,0.07237,0.77384,0.84945,0.87014,0.57481,0.00729,0.91928,0.07254,0.000472501,0.000472501,0.000472501
13,257.717,0.00777,0.95988,0.07219,0.79586,0.83425,0.86944,0.56844,0.00736,0.91818,0.07342,0.000470001,0.000470001,0.000470001
14,276.068,0.00782,0.95654,0.07223,0.78926,0.84829,0.87831,0.58885,0.00713,0.88105,0.07162,0.000467502,0.000467502,0.000467502
15,294.248,0.00761,0.92643,0.07134,0.78694,0.83786,0.8705,0.56573,0.00741,0.89704,0.07391,0.000465002,0.000465002,0.000465002
